model_id,n_cells,n_benchmarks,mean_discrimination,theta,se_theta,month,year,theta_quintile,test_information,se_predicted_from_information
Aria,1,1,0.4176583273218202,-0.13112323065030682,1.0516368896286106,2024-09,2024.0,2,0.8642080641931823,1.075699192805413
Baichuan-13B-Base,3,3,1.3858559399134815,-1.8873769316883664,0.17011441057115576,2023-07,2023.0,1,34.51554847276157,0.17021295465364722
Baichuan-2-13B-Base,16,8,0.8510508611155374,-1.6356792853987492,0.08614987187341541,2023-09,2023.0,1,43.30886252246845,0.1519538161187356
Baichuan-2-7B-Base,11,7,0.9343286931829133,-2.018851087483811,0.10024569289933531,2023-09,2023.0,1,42.952748389191065,0.15258242785869336
Baichuan-7B,4,4,1.1064184640960875,-2.4220264618647085,0.16924456622300652,2023-06,2023.0,1,34.87166260603896,0.16934160550811186
Baichuan2-13B-Chat,6,3,1.3858559399134815,-1.7777835944175822,0.12032387875441176,2023-09,2023.0,1,34.51554847276157,0.17021295465364722
ByteVideoLLM-14B,1,1,0.4176583273218202,-0.43764700720558697,1.0516368896286106,2024-10,2024.0,2,0.8642080641931823,1.075699192805413
Cerebras-GPT-13B,8,7,0.6593821664045029,-2.9910166694165166,0.21285796294725853,2023-03,2023.0,1,17.818508647169786,0.236899598090923
Chat-Uni-Vi-7B-v1.5 + 100k SG-WV,1,1,0.4176583273218202,-2.4404541081538893,1.0516368896286106,2024-06,2024.0,1,0.8642080641931823,1.075699192805413
Chat-UniVi-7B-v1.5,1,1,0.4176583273218202,-2.6849260052849715,1.0516368896286106,2024-04,2024.0,1,0.8642080641931823,1.075699192805413
Chinchilla (70B),12,6,0.4839972965099147,-1.5953375431496908,0.2578165432483486,2022-03,2022.0,1,8.439417246034509,0.3442260794495971
CodeQwen1.5-7B,4,4,1.1498396078353728,-1.9267632694579127,0.16690811893748062,2024-04,2024.0,1,35.85591884925126,0.16700119232707397
Composer 2.5,1,1,1.1867266042484568,1.9368372541806829,0.3775026085149161,2026-05,2026.0,5,6.977139109313917,0.37858317489482973
DeepSeek-Coder-V2-Base,3,3,1.2257537131773764,-0.7971062454471298,0.17765739492966265,2024-06,2024.0,2,31.643519685740817,0.17776964621446076
DeepSeek-Coder-V2-Instruct,1,1,2.281997492785437,-0.223042272437881,0.19672538894974007,2024-06,2024.0,2,25.799206619876188,0.19687783487445906
DeepSeek-Coder-V2-Lite-Base,4,4,1.1498396078353728,-1.2860060448289314,0.16690811893748062,2024-06,2024.0,1,35.85591884925126,0.16700119232707397
DeepSeek-Coder-V2-Lite-Instruct,1,1,2.281997492785437,-0.611908340037205,0.19672538894974007,2024-06,2024.0,2,25.799206619876188,0.19687783487445906
DeepSeek-R1,14,14,1.5940871501960665,0.9749832702545186,0.06261289116672585,2025-01,2025.0,3,255.03769519534552,0.06261780106337989
DeepSeek-R1-0528,11,11,1.714802031596034,1.0917657670018124,0.06745132208722975,2025-05,2025.0,3,219.75563681063988,0.0674574605648558
DeepSeek-R1-Distill-Llama-70B,4,4,1.7604006395883958,0.8144927318540017,0.11736930786475827,2025-01,2025.0,3,72.55235954380566,0.11740165778028787
DeepSeek-R1-Distill-Qwen-14B,2,2,1.67413088045812,0.6224669379436467,0.17591709022405355,2025-01,2025.0,3,32.27349505124823,0.17602607291432212
DeepSeek-R1-Distill-Qwen-32B,2,2,0.8791472031734322,-0.08876530564250097,0.35474352297722284,2025-01,2025.0,2,7.9064114927512925,0.3556397474563156
DeepSeek-V2,8,7,0.6423189890096853,-0.14101471632763146,0.214508714619694,2024-05,2024.0,2,17.188578863023814,0.24120150564614434
DeepSeek-V2.5,1,1,2.1258144228564513,0.12154504734788239,0.21115385949458979,2024-09,2024.0,2,22.38858897549672,0.21134240164052118
DeepSeek-V3,19,17,1.203003222584552,0.3657351300344502,0.07277360477083294,2024-12,2024.0,3,180.06549771664282,0.07452204208428531
DeepSeek-V3-0324,10,10,1.4854191859835972,0.577638892980624,0.08422500855356317,2025-03,2025.0,3,140.92713474112878,0.08423696069224292
DeepSeek-V3-Base,1,1,0.2681060366439056,-0.626961104075921,1.5888753627730883,2024-12,2024.0,2,0.35611413327738656,1.675735209816483
DeepSeek-V3.1,3,3,0.6926203998537255,0.9132223369387911,0.31632635454959485,2025-08,2025.0,3,9.95376762840429,0.3169613084840084
DeepSeek-V3.1-Terminus,2,2,1.5270194955780325,1.3350505604222414,0.17150921010170397,2025-09,2025.0,4,33.955787544904645,0.17161019950154457
DeepSeek-V3.1_thinking,1,1,1.1365490750603735,0.9022407411118489,0.39406763040913384,2025-08,2025.0,3,6.399593823613999,0.3952972515020307
DeepSeek-V3.2-Exp,2,2,2.2609636861877416,1.1789183453267407,0.14020325623602983,2025-09,2025.0,4,50.83258421938861,0.14025840813824383
DeepSeek-V3.2-Exp_thinking,6,6,1.2664701328247314,1.3911519556174645,0.12216334469350965,2025-09,2025.0,4,66.96669083858237,0.1221998240554748
DeepSeek-V3.2-Speciale,2,2,0.9887943040723866,1.3440334338627373,0.3171176594839681,2025-12,2025.0,4,9.903954880216295,0.3177574001034024
Dracarys2-72B-Instruct,1,1,1.037406468701303,0.1803395745140535,0.43145950799639826,2024-09,2024.0,2,5.331800956394766,0.4330749220515021
Dracarys2-Llama-3.1-70B-Instruct,1,1,1.037406468701303,-0.0661134478027744,0.43145950799639826,2024-08,2024.0,2,5.331800956394766,0.4330749220515021
Eurus-2-7B-PRIME,1,1,1.0,-0.6623384514150786,0.44747193283365005,2024-12,2024.0,2,4.954228403118318,0.44927472556854087
GLM-4.5-Air,3,3,1.0794985465708573,0.8297073022549951,0.1977163103386243,2025-07,2025.0,3,25.54085201670943,0.1978710733504274
GLaM (MoE),12,4,0.5723916263461933,-1.769282014657921,0.21063248502432663,2021-12,2021.0,1,7.499920163648628,0.3651503151598738
Gopher (280B),24,7,0.4851359076187244,-2.0001520687626693,0.19086625687182382,2021-12,2021.0,1,9.638499521262672,0.3221033820844629
